location,restaurant_name,cuisine
GRAMERCY-FLATIRON,Union Square Cafe,"American, Italian"
GRAMERCY-FLATIRON,Eleven Madison Park,American
UPPER EAST SIDE,Serendipity 3,American
GREENWICH VILLAGE,The Spotted Pig,American
GREENWICH VILLAGE,Old Homestead Steakhouse,American
GRAMERCY-FLATIRON,Shake Shack,American
MIDTOWN,Estiatorio Milos,"Greek, Mediterranean"
FORT HAMILTON,Cebu,American
TRIBECA,Tribeca Grill,"American, Mediterranean"
GREENWICH VILLAGE,The Waverly Inn and Garden,American
EAST VILLAGE,The Smith,American
UPPER EAST SIDE,Nancy Lee's Pig Heaven,"Taiwanese, BBQ"
WOODSIDE,Jollibee,Filipino
MIDTOWN,Trattoria Dell'Arte,Italian
TRIBECA,Locanda Verde,Italian
 BELMONT,Antonio's Trattoria,"Italian, Pizza"
CHELSEA,Cafeteria,American
LOWER EAST SIDE,The Fat Radish,British
TRIBECA,Nobu,Japanese
GREENWICH VILLAGE,Indochine,"Vietnamese, French"
LINCOLN SQUARE,Cafe Fiorello,"American, Italian"
 UPPER EAST SIDE,Le Bilboquet,"French, Cajun"
UPPER EAST SIDE,Candle 79,American
LOWER EAST SIDE,Katz's Delicatessen,Sandwich
LOWER EAST SIDE,Ajisen Ramen,Japanese
GRAMERCY-FLATIRON,230 Fifth,BarFood
FORT GREENE,Olea,"Mediterranean, Tapas"
LOWER EAST SIDE,Rubirosa,"Italian,Pizza"
MIDTOWN,La Grenouille,French
GRAMERCY,Miss Korea BBQ,"Korean, BBQ"
