review,rest_name,review_date_time,user_name
,Union Square Cafe,6-Nov-15,Foodie 411
"RATED
  Really like this place. Great atmosphere, friendly service (mostly) and tasty food. Nice wine list but with an expensive lean. Had some great dishes, however both fish dishes were quite overcooked. An amateur move for a veteran and at these prices. Understand they're moving soon which is a bit of a shame, but also a good opportunity to do something about the crappy washroom situation (sorry, not sorry for pun)",Union Square Cafe,20-Oct-15,Hung Dong Long
"RATED
  Another place downtown that has seen better days. We went a year or so back, so this review is a tad bit tardy, but the steak was a tad bit overcooked for rare, and the second one was too undercooked for medium. The alcohol will cause a dent in any wallet, but a special place for special occasions",Union Square Cafe,18-Jun-15,Aditya Dhillon
"After my write-up of my visit to Union Square Cafe with poor service, managing partner Sam Lipp contacted me to apologize for the employee’s off-attitude toward me and three other women.

A year later, I decided to try it again.

Their homemade brea..... ...
Read full post on biteofthebest.com",Union Square Cafe,8-Mar-15,Bonnie Tandy Leblang - BITE OF THE BEST
"Great pork ravioli. Over the weekend I had the fantastic pork ravioli.
I usually love anything involving pork anyway! The sauce was delicious and flavorful. I wish it was a little cheaper. The waiter was very courteous and I would consider returning.",Union Square Cafe,19-Jan-15,Khsu77
"...we ducked into the nearest cafe, and by cafe, it’s really more of a restaurant than a cafe. I’m starting to realise at this point that the best french toasts don’t even taste like french toast, and are giant square slabs at least an inch or two thick. This one is on par with the first one, complete with roasted honey-crisp apples on top. Even the guy dining alone at the next table agreed that it was amazing, he literally turned to us three times to gush about his french toast. You know it’s serious stuff when strangers bond over french carbs. ...
Read full post on champagnetwilight.com",Union Square Cafe,19-Nov-14,Champagnetwilight
"NEGATIVE
   The place is cruising on its reputation. The food was not exciting but it was tasteless.",Union Square Cafe,2-Aug-14,Jlimes
"This is part of a review of three burgers that are worth talking about! Once we came to order, hunger had taken over. I'd heard about the burger. I'd had one for supper the night before but I just couldn't go past it. ...
Read full post on bleekong.wordpress.com",Union Square Cafe,20-Jul-14,Ben Lee Kong
"NEGATIVE
   What happened to service?. The food was as good one would expect, but the service was dreadful! Danny needs to pay some attention here!",Union Square Cafe,1-Apr-14,Carole
"As I wrote earlier when I visited Union Square Cafe for lunch, I had heard rumblings that this highly acclaimed restaurant wasn’t what it used to be. On this evening visit, I learned why.

We were four women celebrating. Our server Bob was not happy with our ordering and he showed it with a soupçon of attitude. ...
Read full post on biteofthebest.com",Union Square Cafe,18-Jan-14,Bonnie Tandy Leblang - BITE OF THE BEST
