,location,restaurant_name,cuisine,address,postal_code,average_cost,additional_info,rating,rating_category,lon,lat
1,GRAMERCY-FLATIRON,Union Square Cafe,American,"16th Street, New York, NY 10003",NY 10003,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,-73.987015,40.7349569
2,GRAMERCY-FLATIRON,Union Square Cafe, Italian,"16th Street, New York, NY 10003",NY 10003,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,-73.987015,40.7349569
3,GRAMERCY-FLATIRON,Eleven Madison Park,American,"11 Madison Avenue, New York, NY 10010",NY 10010,600,"['Full Bar Available', 'Farm-to-Table', 'Michelin Starred']",4.7,excellent,-73.9869677,40.7415114
4,UPPER EAST SIDE,Serendipity 3,American,"225 E 60th Street, New York, NY 10022",NY 10022,75,['Desserts and Bakes'],4.3,good,-73.9649001,40.7618668
5,GREENWICH VILLAGE,The Spotted Pig,American,"314 W 11th Street, New York, NY 10014",NY 10014,70,"['Full Bar Available', 'Michelin Starred', 'Brunch', 'Nightlife', 'Gastro Pub']",4.6,excellent,-74.0066957,40.7356133
6,GREENWICH VILLAGE,Old Homestead Steakhouse,American,"56 9th Avenue, New York, NY 10011",NY 10011,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4,good,-74.0047629,40.7412007
7,GRAMERCY-FLATIRON,Shake Shack,American,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,-73.9875635,40.7420371
8,MIDTOWN,Estiatorio Milos,Greek,"125 W 55th Street, New York, NY 10019",NY 10019,250,"['Serves Alcohol', 'Lunch Menu']",4.1,good,-73.9789514,40.763598
9,MIDTOWN,Estiatorio Milos, Mediterranean,"125 W 55th Street, New York, NY 10019",NY 10019,250,"['Serves Alcohol', 'Lunch Menu']",4.1,good,-73.9789514,40.763598
10,FORT HAMILTON,Cebu,American,"8801 3rd Avenue, Brooklyn, NY 11209",NY 11209,80,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Brunch', 'Valet Parking Available', 'Lunch Menu']",4,good,-74.0314416,40.6218995
11,TRIBECA,Tribeca Grill,American,"375 Greenwich Street, New York, NY 10013",NY 10013,75,"['Takeout Available', 'Wine']",3.9,average,-74.009899,40.719608
12,TRIBECA,Tribeca Grill, Mediterranean,"375 Greenwich Street, New York, NY 10013",NY 10013,75,"['Takeout Available', 'Wine']",3.9,average,-74.009899,40.719608
13,GREENWICH VILLAGE,The Waverly Inn and Garden,American,"16 Bank Street, New York, NY 10014",NY 10014,120,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Brunch', 'Nightlife']",3.7,average,-74.0022286,40.7369354
14,EAST VILLAGE,The Smith,American,"55 3rd Avenue, New York, NY 10003",NY 10003,90,"['Breakfast', 'Delivery', 'Takeout Available', 'Full Bar Available', 'Lunch Menu', 'Brunch']",4.2,good,-73.988401,40.7309849
15,UPPER EAST SIDE,Nancy Lee's Pig Heaven,Taiwanese,"1420 3rd Avenue, New York, NY 10028",NY 10028,60,"['Delivery', 'Takeout Available', 'Serves Alcohol']",3.8,average,-73.9568392,40.7754503
16,UPPER EAST SIDE,Nancy Lee's Pig Heaven, BBQ,"1420 3rd Avenue, New York, NY 10028",NY 10028,60,"['Delivery', 'Takeout Available', 'Serves Alcohol']",3.8,average,-73.9568392,40.7754503
17,WOODSIDE,Jollibee,Filipino,"62-29 Roosevelt Avenue, Queens, NY 11377",NY 11377,20,['Takeout Available'],3.6,average,-73.9011693,40.7460243
18,MIDTOWN,Trattoria Dell'Arte,Italian,"900 7th Avenue, New York, NY 10019",NY 10019,120,"['Takeout Available', 'Serves Alcohol', 'Outdoor Seating', 'Brunch', 'Lunch Menu']",4.3,good,-73.9804753,40.765358
19,TRIBECA,Locanda Verde,Italian,"377 Greenwich Street, New York, NY 10013",NY 10013,100,"['Breakfast', 'Takeout Available', 'Wine', 'Outdoor Seating']",4.4,good,-74.009854,40.7198459
