,address,postal_code,rest_name,average_cost,additional_info,rating,rating_category,review,review_date_time,user_name
1,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"RATED
  Really like this place. Great atmosphere, friendly service (mostly) and tasty food. Nice wine list but with an expensive lean. Had some great dishes, however both fish dishes were quite overcooked. An amateur move for a veteran and at these prices. Understand they're moving soon which is a bit of a shame, but also a good opportunity to do something about the crappy washroom situation (sorry, not sorry for pun)",20-Oct-15,Hung Dong Long
2,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"RATED
  Another place downtown that has seen better days. We went a year or so back, so this review is a tad bit tardy, but the steak was a tad bit overcooked for rare, and the second one was too undercooked for medium. The alcohol will cause a dent in any wallet, but a special place for special occasions",18-Jun-15,Aditya Dhillon
3,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"After my write-up of my visit to Union Square Cafe with poor service, managing partner Sam Lipp contacted me to apologize for the employee?s off-attitude toward me and three other women.

A year later, I decided to try it again.

Their homemade brea..... ...
Read full post on biteofthebest.com",8-Mar-15,Bonnie Tandy Leblang - BITE OF THE BEST
4,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"Great pork ravioli. Over the weekend I had the fantastic pork ravioli.
I usually love anything involving pork anyway! The sauce was delicious and flavorful. I wish it was a little cheaper. The waiter was very courteous and I would consider returning.",19-Jan-15,Khsu77
5,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"...we ducked into the nearest cafe, and by cafe, it?s really more of a restaurant than a cafe. I?m starting to realise at this point that the best french toasts don?t even taste like french toast, and are giant square slabs at least an inch or two thick. This one is on par with the first one, complete with roasted honey-crisp apples on top. Even the guy dining alone at the next table agreed that it was amazing, he literally turned to us three times to gush about his french toast. You know it?s serious stuff when strangers bond over french carbs. ...
Read full post on champagnetwilight.com",19-Nov-14,Champagnetwilight
6,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"NEGATIVE
   The place is cruising on its reputation. The food was not exciting but it was tasteless.",2-Aug-14,Jlimes
7,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"This is part of a review of three burgers that are worth talking about! Once we came to order, hunger had taken over. I'd heard about the burger. I'd had one for supper the night before but I just couldn't go past it. ...
Read full post on bleekong.wordpress.com",20-Jul-14,Ben Lee Kong
8,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"NEGATIVE
   What happened to service?. The food was as good one would expect, but the service was dreadful! Danny needs to pay some attention here!",1-Apr-14,Carole
9,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"As I wrote earlier when I visited Union Square Cafe for lunch, I had heard rumblings that this highly acclaimed restaurant wasn?t what it used to be. On this evening visit, I learned why.

We were four women celebrating. Our server Bob was not happy with our ordering and he showed it with a soupçon of attitude. ...
Read full post on biteofthebest.com",18-Jan-14,Bonnie Tandy Leblang - BITE OF THE BEST
13,"16th Street, New York, NY 10003",NY 10003,Union Square Cafe,75,"['Full Bar Available', 'Nightlife', 'Wifi', 'Lunch Menu']",4.3,good,"POSITIVE
   This is great little place with very good food. I had a soft shell crab with Asian slaw & it was delicious. Serving size was generous, I had 2 full crabs on my plate. The service was excellent. They knew their stuff & were more than happy to provide tastings. For the quality of the food, worth every penny.",2-Jun-13,Moose
